"MOTU","Assignment","Min read number","Max read number","Mean read number"
"3da8f1176b92c07364bc3896edf66759fb0ab965","Myctophiformes",0,528526,15462.5540540541
"85278160ab227ef795d7d34b3b7f143ce48f85d0","Myctophidae",0,368637,10921.3783783784
"d6945c710869f4b37aa5130f8c13f2fffbf7b7d3","Clupeocephala",0,2264954,25560.0878378378
"ef40c96064831034fabfc6cf9c0c1e073e3e3515","Percomorphaceae",0,625223,11211.0608108108
"966b82c7f5deb4d86bb7245414bacad68917cfa8","Diaphus",0,1197125,16485.5067567568
"278fada4a105bc0ca041da419686a7486f08a66a","Percomorphaceae",0,458036,14024.0472972973
"89237aa306b52b84a560cc510d820aff82bc22aa","Naso",0,940494,9741.21621621622
"9eb94e56c2f5b5fadac929dc12d3520f642a1aa1","Beryx",0,1711722,35497.6148648649
"8ad697ca257e80c0e9a1fb4d180766d76fed37fc","Eupercaria",0,266410,7169.08783783784
"bc50ec564902f2a348db5a327290cdf47bd2ed15","Diogenichthys",0,299446,6718.53378378378
"d83357c786e0943ffd8df9fedfb0f11fd5f193cf","Parupeneus",0,97586,1843.98648648649
"0a68e7af285e1c8a09c4b3a1d1eb8358ae9993e9","Scomberomorus",0,672106,12110.8378378378
