;MOTU;Assignment;Min read number;Max read number;Mean read number
motu1;198f251983a2c07127b0627155c2bfd1cb395018;Myctophidae;0;74986;1726.9012345679
motu2;64bd1d960e40022a1495514b003ec2d6d6eff0d0;Diaphus;0;63446;2158.40740740741
motu3;3ea7ca11fd53b49737dfe737333399f3fd6f3ba5;Lethrinus;0;138913;4381
motu4;88f21a755cd3ada743d261a320b227d3296c497a;Percomorphaceae;0;60721;1011.27160493827
motu5;4da9175453088622f374a4c218d51abb164dce98;Thunnus;0;26575;1583.50617283951
motu6;61be9061b5785556dd08d30ea76efb00d167bc3a;Lutjanus;0;46122;987.481481481482
motu7;3b0c030da83544658146617d798382ff6ffa1aa0;Sardina pilchardus;0;78994;1638.37037037037
motu8;278fada4a105bc0ca041da419686a7486f08a66a;Percomorphaceae;0;57919;2776.81481481481
motu9;4138a9e4b074a38af19d74bfb1035179c89c9ede;Tylosurus;0;14785;408.62962962963
motu10;0a68e7af285e1c8a09c4b3a1d1eb8358ae9993e9;Scomberomorus;0;8024;399.703703703704
