"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"39","Model_log_acoustic_tc_5_lr_0.01_bf_0.75",5,0.01,10000,0.179,0.184,0.001,0.789,0.001,0.75
"38","Model_log_acoustic_tc_5_lr_0.01_bf_0.5",5,0.01,10000,0.18,0.185,0.001,0.788,0.001,0.5
"30","Model_log_acoustic_tc_4_lr_0.01_bf_0.75",4,0.01,10000,0.191,0.195,0.001,0.774,0.001,0.75
"29","Model_log_acoustic_tc_4_lr_0.01_bf_0.5",4,0.01,10000,0.192,0.196,0.001,0.773,0.001,0.5
"42","Model_log_acoustic_tc_5_lr_0.005_bf_0.75",5,0.005,10000,0.203,0.205,0.001,0.761,0.001,0.75
"41","Model_log_acoustic_tc_5_lr_0.005_bf_0.5",5,0.005,10000,0.203,0.206,0.001,0.76,0.001,0.5
"20","Model_log_acoustic_tc_3_lr_0.01_bf_0.5",3,0.01,10000,0.209,0.212,0.001,0.751,0.001,0.5
"21","Model_log_acoustic_tc_3_lr_0.01_bf_0.75",3,0.01,10000,0.209,0.212,0.001,0.751,0.001,0.75
"32","Model_log_acoustic_tc_4_lr_0.005_bf_0.5",4,0.005,10000,0.214,0.216,0.001,0.746,0.001,0.5
"33","Model_log_acoustic_tc_4_lr_0.005_bf_0.75",4,0.005,10000,0.214,0.216,0.001,0.746,0.001,0.75
"23","Model_log_acoustic_tc_3_lr_0.005_bf_0.5",3,0.005,10000,0.23,0.231,0.001,0.724,0.001,0.5
"24","Model_log_acoustic_tc_3_lr_0.005_bf_0.75",3,0.005,10000,0.229,0.231,0.001,0.724,0.001,0.75
"11","Model_log_acoustic_tc_2_lr_0.01_bf_0.5",2,0.01,10000,0.239,0.24,0.001,0.711,0.001,0.5
"12","Model_log_acoustic_tc_2_lr_0.01_bf_0.75",2,0.01,10000,0.239,0.24,0.001,0.71,0.001,0.75
"14","Model_log_acoustic_tc_2_lr_0.005_bf_0.5",2,0.005,10000,0.255,0.256,0.001,0.687,0.001,0.5
"15","Model_log_acoustic_tc_2_lr_0.005_bf_0.75",2,0.005,10000,0.255,0.256,0.001,0.687,0.001,0.75
"44","Model_log_acoustic_tc_5_lr_0.001_bf_0.5",5,0.001,10000,0.255,0.256,0.001,0.691,0.001,0.5
"45","Model_log_acoustic_tc_5_lr_0.001_bf_0.75",5,0.001,10000,0.255,0.256,0.001,0.69,0.001,0.75
"35","Model_log_acoustic_tc_4_lr_0.001_bf_0.5",4,0.001,10000,0.265,0.266,0.001,0.676,0.001,0.5
"36","Model_log_acoustic_tc_4_lr_0.001_bf_0.75",4,0.001,10000,0.265,0.266,0.001,0.676,0.001,0.75
"26","Model_log_acoustic_tc_3_lr_0.001_bf_0.5",3,0.001,10000,0.276,0.277,0.001,0.659,0.001,0.5
"27","Model_log_acoustic_tc_3_lr_0.001_bf_0.75",3,0.001,10000,0.276,0.277,0.001,0.659,0.001,0.75
"17","Model_log_acoustic_tc_2_lr_0.001_bf_0.5",2,0.001,10000,0.294,0.294,0.001,0.632,0.002,0.5
"18","Model_log_acoustic_tc_2_lr_0.001_bf_0.75",2,0.001,10000,0.294,0.294,0.001,0.632,0.002,0.75
"2","Model_log_acoustic_tc_1_lr_0.01_bf_0.5",1,0.01,4800,0.307,0.307,0.001,0.604,0.001,0.5
"3","Model_log_acoustic_tc_1_lr_0.01_bf_0.75",1,0.01,4800,0.307,0.308,0.001,0.604,0.001,0.75
"5","Model_log_acoustic_tc_1_lr_0.005_bf_0.5",1,0.005,6525,0.311,0.311,0.001,0.599,0.002,0.5
"6","Model_log_acoustic_tc_1_lr_0.005_bf_0.75",1,0.005,6525,0.311,0.312,0.001,0.598,0.002,0.75
"8","Model_log_acoustic_tc_1_lr_0.001_bf_0.5",1,0.001,10000,0.332,0.332,0.001,0.569,0.002,0.5
"9","Model_log_acoustic_tc_1_lr_0.001_bf_0.75",1,0.001,10000,0.333,0.333,0.001,0.569,0.002,0.75
