blmval;total_boundary_length;total_cost;score;rank
1,00E-04;35346832;27918;0.375032882492303;16
2,00E-04;32715612;28265;0.457941508673174;15
4,00E-04;30137978;28905;0.595081479741855;14
6,00E-04;29054998;29375;0.661131879844256;4
8,00E-04;28360616;29876;0.69745468398489;2
0.001;27896324;30269;0.716597790641484;1
0.002;25761882;33239;0.68455386390656;3
0.004;25228812;34738;0.640094263635905;5
0.006;25241540;34807;0.637423213667911;6
0.008;25198254;35023;0.631160956951862;7
0.01;25206810;35154;0.626665257444729;9
0.02;25218630;35197;0.624995488145667;11
0.04;25225158;35189;0.625099857213883;10
0.06;25165086;35242;0.624798351056695;13
0.08;25152210;35246;0.624967117507698;12
0.1;25188694;35157;0.626990672265062;8
